,SPRING1,SPRING2,type,Neutrophil PT
764,-1772.668,1255.866,Meg,-1.0
767,1702.077,-331.375,Monocyte,-1.0
768,544.952,-562.224,Undifferentiated,34823.0
769,599.654,-689.925,Undifferentiated,35568.0
770,2539.385,-364.844,Monocyte,-1.0
772,1076.568,-2011.536,Neutrophil,47374.0
773,1600.295,-129.791,Monocyte,-1.0
779,661.288,-1215.441,Neutrophil,41191.0
780,615.325,-1012.377,Neutrophil,40423.0
781,2095.85,-252.704,Monocyte,-1.0
782,912.83,-1859.431,Neutrophil,46291.0
783,870.095,-246.796,Undifferentiated,-1.0
784,2964.386,211.21,Monocyte,-1.0
785,2384.401,-430.79,Monocyte,-1.0
787,2492.778,-266.076,Monocyte,-1.0
792,425.29,-97.629,Undifferentiated,24648.0
793,2597.582,-401.962,Monocyte,-1.0
794,925.467,104.215,Undifferentiated,-1.0
795,564.33,-638.116,Undifferentiated,34148.0
796,-1166.114,383.255,Undifferentiated,-1.0
798,2309.454,-328.051,Monocyte,-1.0
799,2449.485,-97.973,Monocyte,-1.0
802,2737.091,-90.048,Monocyte,-1.0
803,-1073.018,-1309.879,Baso,-1.0
804,2215.022,-2101.44,Neutrophil,55312.0
805,2341.164,-298.976,Monocyte,-1.0
807,-3.099,655.202,Undifferentiated,7268.0
808,597.636,-747.923,Undifferentiated,36210.0
809,137.767,205.408,Undifferentiated,23159.0
811,515.741,146.136,Undifferentiated,-1.0
812,1028.166,101.675,Undifferentiated,-1.0
813,1748.203,-485.703,Monocyte,-1.0
815,2423.917,-398.381,Monocyte,-1.0
821,679.231,-1007.994,Neutrophil,37764.0
822,1974.64,-236.938,Monocyte,-1.0
823,719.599,-1530.207,Neutrophil,43706.0
824,651.235,-1007.839,Neutrophil,39245.0
826,-1297.434,217.481,Erythroid,-1.0
827,-296.396,519.525,Undifferentiated,-1.0
828,1343.167,-138.711,Undifferentiated,-1.0
829,-904.449,-1946.089,Baso,-1.0
832,2620.216,-484.135,Undifferentiated,-1.0
835,1029.935,-61.385,Undifferentiated,-1.0
836,185.785,329.222,Undifferentiated,15279.0
837,668.235,-1074.662,Neutrophil,39783.0
838,-1746.174,-887.252,Mast,-1.0
842,-1104.663,-1715.06,Baso,-1.0
843,2495.114,-189.882,Monocyte,-1.0
844,1666.749,-2163.573,Neutrophil,52356.0
845,757.147,-1139.49,Neutrophil,40073.0
848,562.407,-541.306,Undifferentiated,28760.0
849,1335.407,-623.667,Undifferentiated,-1.0
850,584.66,-1113.52,Neutrophil,40304.0
852,806.183,-1679.959,Neutrophil,45303.0
859,2608.786,-1954.126,Neutrophil,59256.0
861,550.22,-765.539,Undifferentiated,37715.0
862,1475.609,-327.626,Monocyte,-1.0
863,1339.656,-149.36,Undifferentiated,-1.0
864,-1893.449,-1018.686,Mast,-1.0
866,-1162.16,276.952,Undifferentiated,-1.0
868,3020.251,319.611,Monocyte,-1.0
869,2547.445,-187.244,Monocyte,-1.0
870,833.866,-1640.629,Neutrophil,46246.0
875,211.737,319.838,Undifferentiated,15963.0
877,-1561.434,-823.33,Mast,-1.0
878,2883.375,49.704,Monocyte,-1.0
879,-1150.732,490.498,Undifferentiated,-1.0
884,681.879,98.754,Undifferentiated,-1.0
887,1697.116,-196.951,Monocyte,-1.0
888,1531.395,-401.412,Monocyte,-1.0
890,1927.676,-417.334,Monocyte,-1.0
892,2993.566,348.952,Monocyte,-1.0
893,-1347.381,250.499,Erythroid,-1.0
897,2389.424,-1994.429,Neutrophil,56744.0
900,599.284,-1240.585,Neutrophil,41993.0
901,230.256,433.726,Undifferentiated,14169.0
902,1760.27,-215.186,Monocyte,-1.0
903,1579.281,-307.764,Monocyte,-1.0
904,-1881.76,-996.498,Mast,-1.0
905,-1863.455,-951.081,Mast,-1.0
906,1755.284,-743.84,Undifferentiated,-1.0
908,-1079.412,-1673.064,Baso,-1.0
909,-889.691,-2111.814,Baso,-1.0
914,1153.404,-538.408,Undifferentiated,-1.0
916,-1602.09,-799.423,Mast,-1.0
917,1091.692,-56.622,Undifferentiated,-1.0
918,997.811,-1953.78,Neutrophil,47371.0
919,-1733.213,-863.62,Mast,-1.0
920,1834.646,-588.485,Undifferentiated,-1.0
921,435.85,-149.261,Undifferentiated,25890.0
927,903.768,-207.433,Undifferentiated,-1.0
928,578.897,-540.024,Undifferentiated,33050.0
929,636.604,-362.698,Undifferentiated,26766.0
930,2090.466,-272.089,Monocyte,-1.0
931,2181.896,-473.497,Monocyte,-1.0
932,644.21,-730.307,Undifferentiated,34424.0
934,2715.074,-1892.25,Neutrophil,60597.0
937,-1873.994,-968.389,Mast,-1.0
938,2531.168,-1898.094,Neutrophil,59763.0
939,2701.236,-1901.436,Neutrophil,60439.0
940,287.92,211.028,Undifferentiated,19015.0
941,-796.453,-1104.042,Undifferentiated,-1.0
942,761.831,-1434.539,Neutrophil,42510.0
944,1092.438,-2026.274,Neutrophil,48438.0
946,-1057.326,-1664.973,Baso,-1.0
947,485.633,-292.005,Undifferentiated,30662.0
954,840.576,-1536.149,Neutrophil,47984.0
955,2644.464,27.107,Monocyte,-1.0
957,-1192.495,260.405,Undifferentiated,-1.0
959,773.026,-1693.456,Neutrophil,45413.0
960,-1209.319,480.43,Undifferentiated,-1.0
968,747.01,-453.347,Undifferentiated,30947.0
971,511.129,-1195.086,Neutrophil,41783.0
972,517.652,171.04,Undifferentiated,-1.0
973,47.343,456.357,Undifferentiated,16970.0
974,610.184,-684.558,Undifferentiated,33584.0
978,2536.992,-461.489,Monocyte,-1.0
980,-879.404,-804.246,Baso,-1.0
981,2694.135,-6.951,Monocyte,-1.0
985,1398.912,915.853,Undifferentiated,-1.0
991,1789.81,51.302,Monocyte,-1.0
993,580.001,-586.602,Undifferentiated,35901.0
994,2198.163,-393.071,Monocyte,-1.0
999,231.495,299.609,Undifferentiated,16698.0
1002,-687.439,422.935,Undifferentiated,-1.0
1005,568.119,-541.041,Undifferentiated,30545.0
1007,707.411,-1175.294,Neutrophil,40183.0
1008,894.618,426.092,Undifferentiated,-1.0
1009,-1676.745,-846.468,Mast,-1.0
1010,-884.14,-2008.018,Baso,-1.0
1017,-1688.105,642.791,Meg,-1.0
1018,1140.545,-1926.457,Neutrophil,47195.0
1023,-970.731,-2085.347,Baso,-1.0
1025,-1062.43,-1228.07,Baso,-1.0
