,Estimator,Sample number,True MI,Estimate,Ambient dimensions,Intrinsic dimensions
1411,KSG,1000,1,0.20001603969285942,25,2
1412,InfoNCE,1000,1,-2.6430087405415397,37,3
1413,LMI,1000,1,0.6793262256519637,37,3
1414,MINE,1000,1,-0.008790893198852463,37,3
1415,KSG,1000,1,0.12361134334126109,37,3
1416,InfoNCE,1000,1,-4.781716193611083,50,5
1417,LMI,1000,1,0.585389181828886,50,5
1418,MINE,1000,1,-0.7341512848359161,50,5
1419,KSG,1000,1,0.1555281726302789,50,5
1420,InfoNCE,2000,1,1.0294207308656342,1,1
1421,LMI,2000,1,1.0287673915813076,1,1
1422,MINE,2000,1,1.058497149716406,1,1
1423,KSG,2000,1,1.0237203960452563,1,1
1424,InfoNCE,2000,1,0.602986308398283,13,1
1425,LMI,2000,1,0.9685408127909528,13,1
1426,MINE,2000,1,0.8324605236700674,13,1
1427,KSG,2000,1,0.40773000070043736,13,1
1428,InfoNCE,2000,1,0.04236345449113048,25,2
1429,LMI,2000,1,0.795208462747765,25,2
1430,MINE,2000,1,0.5367088382873298,25,2
1431,KSG,2000,1,0.2649073205633139,25,2
1432,InfoNCE,2000,1,-0.47555885892920047,37,3
1433,LMI,2000,1,0.6809395021796018,37,3
1434,MINE,2000,1,0.5002168714966557,37,3
1435,KSG,2000,1,0.19719057434077628,37,3
1436,InfoNCE,2000,1,-0.7716166734304738,50,5
1437,LMI,2000,1,0.6312747245859327,50,5
1438,MINE,2000,1,0.22151812586021996,50,5
1439,KSG,2000,1,0.17037511585306164,50,5
1440,InfoNCE,3000,1,0.9303291429527081,1,1
1441,LMI,3000,1,1.0077008895389128,1,1
1442,MINE,3000,1,0.9571405502916165,1,1
1443,KSG,3000,1,0.9653978678407005,1,1
1444,InfoNCE,3000,1,0.7155145568578187,13,1
1445,LMI,3000,1,0.9480320093052406,13,1
1446,MINE,3000,1,0.8892223656914322,13,1
1447,KSG,3000,1,0.4310233934093059,13,1
1448,InfoNCE,3000,1,0.5791873491718875,25,2
1449,LMI,3000,1,0.8217769179681321,25,2
1450,MINE,3000,1,0.7165983915235561,25,2
1451,KSG,3000,1,0.28075466534472854,25,2
1452,InfoNCE,3000,1,0.33573833963894395,37,3
1453,LMI,3000,1,0.701802746581887,37,3
1454,MINE,3000,1,0.7036804306519489,37,3
1455,KSG,3000,1,0.21035763378930983,37,3
1456,InfoNCE,3000,1,0.09269589709264005,50,5
1457,LMI,3000,1,0.6755831012396282,50,5
1458,MINE,3000,1,0.322478993205374,50,5
1459,KSG,3000,1,0.16660067724020444,50,5
1460,InfoNCE,4000,1,1.0017150137422393,1,1
1461,LMI,4000,1,0.9950358198747546,1,1
1462,MINE,4000,1,1.0018737537289857,1,1
1463,KSG,4000,1,1.0079412316250798,1,1
1464,InfoNCE,4000,1,0.9254888632268252,13,1
1465,LMI,4000,1,0.975829482040745,13,1
1466,MINE,4000,1,0.9549346148203247,13,1
1467,KSG,4000,1,0.47970684577108264,13,1
1468,InfoNCE,4000,1,0.6364238633096337,25,2
1469,LMI,4000,1,0.8947197887932564,25,2
1470,MINE,4000,1,0.8592684053646331,25,2
1471,KSG,4000,1,0.29921158394245867,25,2
1472,InfoNCE,4000,1,0.595439709678423,37,3
1473,LMI,4000,1,0.68987535773628,37,3
1474,MINE,4000,1,0.7228174561614061,37,3
1475,KSG,4000,1,0.20280898822109394,37,3
1476,InfoNCE,4000,1,0.43347745598548504,50,5
1477,LMI,4000,1,0.6289164940668834,50,5
1478,MINE,4000,1,0.5684797093291691,50,5
1479,KSG,4000,1,0.1516790616158593,50,5
1480,InfoNCE,5000,1,0.9717955359369381,1,1
1481,LMI,5000,1,0.9876286202756673,1,1
1482,MINE,5000,1,0.979809927467145,1,1
1483,KSG,5000,1,1.0049360987728124,1,1
1484,InfoNCE,5000,1,0.9066794646672616,13,1
1485,LMI,5000,1,0.9266566720302448,13,1
1486,MINE,5000,1,0.9033875447470966,13,1
1487,KSG,5000,1,0.47859607468928345,13,1
1488,InfoNCE,5000,1,0.7671423727856269,25,2
1489,LMI,5000,1,0.8623456033704133,25,2
1490,MINE,5000,1,0.8203140769702306,25,2
1491,KSG,5000,1,0.30213653241706545,25,2
1492,InfoNCE,5000,1,0.7554090284131627,37,3
1493,LMI,5000,1,0.7920311228519122,37,3
1494,MINE,5000,1,0.7934330166577228,37,3
1495,KSG,5000,1,0.24638561175901835,37,3
1496,InfoNCE,5000,1,0.671941720365821,50,5
1497,LMI,5000,1,0.6753994642670795,50,5
1498,MINE,5000,1,0.6285694156447292,50,5
1499,KSG,5000,1,0.17304838253663715,50,5
1500,InfoNCE,6000,1,1.0054036976379448,1,1
1501,LMI,6000,1,1.0314979315464885,1,1
1502,MINE,6000,1,0.9918879250719383,1,1
1503,KSG,6000,1,1.01297481793589,1,1
