,Exclusive dimensions,Distribution,Estimate,Estimator
0,0,Circle,0.6948243372360232,LMI
1,0,Circle,0.6435479052796371,LMI-MINE
2,0,Circle,0.5987946996332303,LMI-InfoNCE
3,0,Circle,0.5388010932264014,MINE
4,0,Circle,0.5103138009461603,InfoNCE
5,0,Circle,0.7336792724298719,KSG
6,0,Gaussian mixture,0.6432113065989347,LMI
7,0,Gaussian mixture,0.6843615004471777,LMI-MINE
8,0,Gaussian mixture,0.6101281495394982,LMI-InfoNCE
9,0,Gaussian mixture,0.30880697440105875,MINE
10,0,Gaussian mixture,0.516333881656962,InfoNCE
11,0,Gaussian mixture,0.5988857672702237,KSG
12,0,Circle,0.6087658018405885,LMI
13,0,Circle,0.5589284758185065,LMI-MINE
14,0,Circle,0.4895998825486631,LMI-InfoNCE
15,0,Circle,0.5189017546169946,MINE
16,0,Circle,0.5526600571722045,InfoNCE
17,0,Circle,0.7437014384053056,KSG
18,0,Gaussian mixture,0.5690269618014965,LMI
19,0,Gaussian mixture,0.6928713054084173,LMI-MINE
20,0,Gaussian mixture,0.6019825542765147,LMI-InfoNCE
21,0,Gaussian mixture,0.5696087754320834,MINE
22,0,Gaussian mixture,0.5084866572633938,InfoNCE
23,0,Gaussian mixture,0.6656677122334841,KSG
24,0,Circle,0.7756340332839009,LMI
25,0,Circle,0.6849057564172144,LMI-MINE
26,0,Circle,0.6468901840178216,LMI-InfoNCE
27,0,Circle,0.44148359234845047,MINE
28,0,Circle,0.5709012250533174,InfoNCE
29,0,Circle,0.6849356813576808,KSG
30,0,Gaussian mixture,0.5925997407251892,LMI
31,0,Gaussian mixture,0.36362112082709075,LMI-MINE
32,0,Gaussian mixture,0.478981767279503,LMI-InfoNCE
33,0,Gaussian mixture,0.6214660162161426,MINE
34,0,Gaussian mixture,0.5522383557122889,InfoNCE
35,0,Gaussian mixture,0.5838515923214097,KSG
36,0,Circle,0.7339337601574351,LMI
37,0,Circle,0.6808713321792026,LMI-MINE
38,0,Circle,0.6982485740790211,LMI-InfoNCE
39,0,Circle,0.4721988338792938,MINE
40,0,Circle,0.6103251520759008,InfoNCE
41,0,Circle,0.7287058209499503,KSG
42,0,Gaussian mixture,0.6068931613364987,LMI
