,True MI,Ambient dimensions,Intrinsic dimensions,Estimator,Estimate,Transformation
243,0.0,1000,4,LMI,-0.03854088753438481,None
244,0.5,1000,4,InfoNCE,0.0,None
245,0.5,1000,4,MINE,1.0318959051768519e-06,None
246,0.5,1000,4,KSG,0.006619444640984718,None
247,0.5,1000,4,LMI,0.3247979596390539,None
248,1.0,1000,4,InfoNCE,0.0,None
249,1.0,1000,4,MINE,0.0,None
250,1.0,1000,4,KSG,0.03126871562623144,None
251,1.0,1000,4,LMI,0.6646066637032418,None
252,1.5,1000,4,InfoNCE,0.0012004389030224043,None
253,1.5,1000,4,MINE,0.0014436223713424157,None
254,1.5,1000,4,KSG,0.02198858377812082,None
255,1.5,1000,4,LMI,1.072388575883808,None
256,2.0,1000,4,InfoNCE,0.0,None
257,2.0,1000,4,MINE,1.375861206902469e-06,None
258,2.0,1000,4,KSG,0.008796303740193117,None
259,2.0,1000,4,LMI,1.3582069863982318,None
260,0.0,1000,5,InfoNCE,0.0,None
261,0.0,1000,5,MINE,1.7198265086280863e-07,None
262,0.0,1000,5,KSG,-0.0073157049295329134,None
263,0.0,1000,5,LMI,0.015871033740816522,None
264,0.5,1000,5,InfoNCE,0.0,None
265,0.5,1000,5,MINE,0.0,None
266,0.5,1000,5,KSG,0.010762835765963853,None
267,0.5,1000,5,LMI,0.24634180932399533,None
268,1.0,1000,5,InfoNCE,0.0,None
269,1.0,1000,5,MINE,0.0,None
270,1.0,1000,5,KSG,0.008182420138213853,None
271,1.0,1000,5,LMI,0.6194670719642466,None
272,1.5,1000,5,InfoNCE,0.007028586975461264,None
273,1.5,1000,5,MINE,1.074891567892554e-07,None
274,1.5,1000,5,KSG,0.003057100708088253,None
275,1.5,1000,5,LMI,0.8511079383444378,None
276,2.0,1000,5,InfoNCE,0.0,None
277,2.0,1000,5,MINE,0.004911996491292678,None
278,2.0,1000,5,KSG,0.008251125793906754,None
279,2.0,1000,5,LMI,1.110372932341918,None
280,0.0,1000,6,InfoNCE,3.439653017256173e-06,None
281,0.0,1000,6,MINE,5.159479525884259e-07,None
282,0.0,1000,6,KSG,0.013538051574703463,None
283,0.0,1000,6,LMI,-0.015584460917250041,None
284,0.5,1000,6,InfoNCE,0.00010318959051768518,None
285,0.5,1000,6,MINE,2.149783135785108e-07,None
286,0.5,1000,6,KSG,0.03684679120734749,None
287,0.5,1000,6,LMI,0.25027445401760157,None
288,1.0,1000,6,InfoNCE,0.0,None
289,1.0,1000,6,MINE,0.0,None
290,1.0,1000,6,KSG,0.02149475238827047,None
291,1.0,1000,6,LMI,0.5397133901375182,None
292,1.5,1000,6,InfoNCE,0.0,None
293,1.5,1000,6,MINE,0.0,None
294,1.5,1000,6,KSG,0.003962866465905133,None
295,1.5,1000,6,LMI,0.8060934450741952,None
296,2.0,1000,6,InfoNCE,0.0,None
297,2.0,1000,6,MINE,0.0,None
298,2.0,1000,6,KSG,-0.03526029843682783,None
299,2.0,1000,6,LMI,0.9498680193048943,None
300,0.0,1000,7,InfoNCE,0.0,None
301,0.0,1000,7,MINE,1.7198265086280863e-07,None
302,0.0,1000,7,KSG,-0.03228478834279562,None
303,0.0,1000,7,LMI,-0.020065157809391606,None
304,0.5,1000,7,InfoNCE,0.0,None
305,0.5,1000,7,MINE,0.0,None
306,0.5,1000,7,KSG,0.014312539848483258,None
307,0.5,1000,7,LMI,0.266530320923872,None
308,1.0,1000,7,InfoNCE,2.270170991389074e-05,None
309,1.0,1000,7,MINE,0.0,None
310,1.0,1000,7,KSG,0.017179719721988795,None
311,1.0,1000,7,LMI,0.43113933001014165,None
312,1.5,1000,7,InfoNCE,0.0,None
313,1.5,1000,7,MINE,4.299566271570216e-07,None
314,1.5,1000,7,KSG,-0.016737613078813468,None
315,1.5,1000,7,LMI,0.7047508854400982,None
316,2.0,1000,7,InfoNCE,0.0001774860956904185,None
317,2.0,1000,7,MINE,0.0,None
318,2.0,1000,7,KSG,0.007272900995842729,None
319,2.0,1000,7,LMI,0.9092051690237725,None
320,0.0,1000,8,InfoNCE,0.0,None
321,0.0,1000,8,MINE,0.0,None
322,0.0,1000,8,KSG,-0.004904770250035937,None
323,0.0,1000,8,LMI,-0.0061455710643078375,None
324,0.5,1000,8,InfoNCE,0.0,None
325,0.5,1000,8,MINE,0.0,None
326,0.5,1000,8,KSG,0.016030079594404507,None
327,0.5,1000,8,LMI,0.24623860951345236,None
328,1.0,1000,8,InfoNCE,0.00035290839957048334,None
329,1.0,1000,8,MINE,1.2898698814710649e-07,None
330,1.0,1000,8,KSG,0.06526225182267269,None
331,1.0,1000,8,LMI,0.4121985855481843,None
332,1.5,1000,8,InfoNCE,0.0,None
333,1.5,1000,8,MINE,0.0014411716185676207,None
334,1.5,1000,8,KSG,-0.00740707836930288,None
335,1.5,1000,8,LMI,0.6253028147745934,None
336,2.0,1000,8,InfoNCE,0.0,None
337,2.0,1000,8,MINE,4.299566271570216e-07,None
338,2.0,1000,8,KSG,0.0029851471868126873,None
339,2.0,1000,8,LMI,0.8361803379961482,None
340,0.0,1000,9,InfoNCE,6.535340732786729e-05,None
341,0.0,1000,9,MINE,1.7198265086280863e-07,None
342,0.0,1000,9,KSG,-0.03581675310807594,None
343,0.0,1000,9,LMI,0.0030940771784502214,None
344,0.5,1000,9,InfoNCE,3.5084460776012965e-05,None
345,0.5,1000,9,MINE,0.0,None
346,0.5,1000,9,KSG,-0.02842085533948542,None
347,0.5,1000,9,LMI,0.08468110895744377,None
348,1.0,1000,9,InfoNCE,0.0,None
349,1.0,1000,9,MINE,5.159479525884259e-07,None
350,1.0,1000,9,KSG,-0.032780891546975784,None
351,1.0,1000,9,LMI,0.39141081994282384,None
352,1.5,1000,9,InfoNCE,0.0,None
353,1.5,1000,9,MINE,0.001443708362667847,None
354,1.5,1000,9,KSG,0.023180944336668084,None
355,1.5,1000,9,LMI,0.5143936146398894,None
356,2.0,1000,9,InfoNCE,0.0,None
357,2.0,1000,9,MINE,0.0,None
358,2.0,1000,9,KSG,-0.0010485126331959361,None
359,2.0,1000,9,LMI,0.5724467574768839,None
360,0.0,1000,1,InfoNCE,0.0,Asinh
361,0.0,1000,1,MINE,4.729522898727238e-07,Asinh
362,0.0,1000,1,KSG,-0.07454743668662939,Asinh
363,0.0,1000,1,LMI,-0.03194279952453515,Asinh
364,0.5,1000,1,InfoNCE,0.0,Asinh
365,0.5,1000,1,MINE,5.503444827609876e-06,Asinh
366,0.5,1000,1,KSG,-0.0018384836806370278,Asinh
367,0.5,1000,1,LMI,0.4687750220862369,Asinh
368,1.0,1000,1,InfoNCE,0.0,Asinh
369,1.0,1000,1,MINE,0.0,Asinh
370,1.0,1000,1,KSG,0.007433531961268567,Asinh
371,1.0,1000,1,LMI,0.8431755428919924,Asinh
372,1.5,1000,1,InfoNCE,0.0,Asinh
373,1.5,1000,1,MINE,0.0,Asinh
374,1.5,1000,1,KSG,0.015902037338138084,Asinh
375,1.5,1000,1,LMI,1.301610849641428,Asinh
376,2.0,1000,1,InfoNCE,0.0,Asinh
377,2.0,1000,1,MINE,0.0,Asinh
378,2.0,1000,1,KSG,0.044097964166744615,Asinh
379,2.0,1000,1,LMI,1.6839437367900054,Asinh
380,0.0,1000,2,InfoNCE,0.0,Asinh
381,0.0,1000,2,MINE,0.0,Asinh
382,0.0,1000,2,KSG,0.03072603938419298,Asinh
383,0.0,1000,2,LMI,-0.018207138629324895,Asinh
384,0.5,1000,2,InfoNCE,0.0,Asinh
385,0.5,1000,2,MINE,0.0,Asinh
386,0.5,1000,2,KSG,-0.0014474170776830237,Asinh
387,0.5,1000,2,LMI,0.4116013047163558,Asinh
388,1.0,1000,2,InfoNCE,0.0,Asinh
389,1.0,1000,2,MINE,0.0,Asinh
390,1.0,1000,2,KSG,0.018161095621037137,Asinh
