,Estimator,Sample number,True MI,Estimate,Ambient dimensions,Intrinsic dimensions
93,LMI ,5000,1,-0.003964132005492499,37,37
94,MINE,5000,1,0.020598534076489452,37,37
95,KSG,5000,1,0.11466867294133508,37,37
96,InfoNCE,5000,1,-0.43205343963634096,50,50
97,LMI ,5000,1,-0.019375607557988592,50,50
98,MINE,5000,1,-0.06919412388693552,50,50
99,KSG,5000,1,0.07233867965701982,50,50
100,InfoNCE,6000,1,0.9880251947335597,1,1
101,LMI ,6000,1,1.011463489587517,1,1
102,MINE,6000,1,0.9513589235262361,1,1
103,KSG,6000,1,0.9888961270308616,1,1
104,InfoNCE,6000,1,0.5737038543317777,13,13
105,LMI ,6000,1,0.2125947527401547,13,13
106,MINE,6000,1,0.4272140198237124,13,13
107,KSG,6000,1,0.40514553280841586,13,13
108,InfoNCE,6000,1,0.16008764279853335,25,25
109,LMI ,6000,1,0.05313272214908604,25,25
110,MINE,6000,1,0.1676915117411307,25,25
111,KSG,6000,1,0.24475683474893511,25,25
112,InfoNCE,6000,1,-0.11312881187634861,37,37
113,LMI ,6000,1,0.04561799059278157,37,37
114,MINE,6000,1,0.02292958692628396,37,37
115,KSG,6000,1,0.12725198889620642,37,37
116,InfoNCE,6000,1,-0.2461250595803689,50,50
117,LMI ,6000,1,0.029639402469723904,50,50
118,MINE,6000,1,-0.10095244019526177,50,50
119,KSG,6000,1,0.1079208909157036,50,50
120,InfoNCE,7000,1,0.9487883848351151,1,1
121,LMI ,7000,1,1.0168691608116236,1,1
122,MINE,7000,1,0.9276322830045284,1,1
123,KSG,7000,1,0.997011540671984,1,1
124,InfoNCE,7000,1,0.5948205721353169,13,13
125,LMI ,7000,1,0.1758191653755425,13,13
126,MINE,7000,1,0.43460101864357176,13,13
127,KSG,7000,1,0.401616820834839,13,13
128,InfoNCE,7000,1,0.21228850491901646,25,25
129,LMI ,7000,1,0.06554533357465572,25,25
130,MINE,7000,1,0.2193389336911373,25,25
131,KSG,7000,1,0.21559991161776698,25,25
132,InfoNCE,7000,1,0.08217743816587067,37,37
133,LMI ,7000,1,-0.0006928482502547753,37,37
134,MINE,7000,1,0.011961565350159204,37,37
135,KSG,7000,1,0.1292212280136364,37,37
136,InfoNCE,7000,1,-0.4818940118563829,50,50
137,LMI ,7000,1,-0.015927384902863526,50,50
138,MINE,7000,1,-0.06231309802591455,50,50
139,KSG,7000,1,0.08374734661952568,50,50
140,InfoNCE,8000,1,0.9783377559757594,1,1
141,LMI ,8000,1,1.032532426744868,1,1
142,MINE,8000,1,0.9879247568654558,1,1
143,KSG,8000,1,1.0218299022037036,1,1
144,InfoNCE,8000,1,0.6745173325451423,13,13
145,LMI ,8000,1,0.18995055017998858,13,13
146,MINE,8000,1,0.5185887461924243,13,13
147,KSG,8000,1,0.4256796904700338,13,13
148,InfoNCE,8000,1,0.2814929477650038,25,25
149,LMI ,8000,1,0.05414215062196436,25,25
150,MINE,8000,1,0.22557330478491414,25,25
151,KSG,8000,1,0.23204636021949715,25,25
152,InfoNCE,8000,1,0.08192565556500753,37,37
153,LMI ,8000,1,0.04188299249969445,37,37
154,MINE,8000,1,0.09577455852573519,37,37
155,KSG,8000,1,0.16835420625104253,37,37
156,InfoNCE,8000,1,-0.18052812481887986,50,50
157,LMI ,8000,1,0.033118448332752494,50,50
158,MINE,8000,1,0.02350572880667437,50,50
159,KSG,8000,1,0.07952295080138812,50,50
160,InfoNCE,9000,1,0.9994696082525745,1,1
161,LMI ,9000,1,1.0333921579747547,1,1
162,MINE,9000,1,1.027950623166059,1,1
163,KSG,9000,1,1.0115359823835868,1,1
164,InfoNCE,9000,1,0.716060773756959,13,13
165,LMI ,9000,1,0.1912200680096029,13,13
166,MINE,9000,1,0.5117706659816191,13,13
167,KSG,9000,1,0.4290135133665415,13,13
168,InfoNCE,9000,1,0.2838539255960484,25,25
169,LMI ,9000,1,0.06537660501126855,25,25
170,MINE,9000,1,0.19997317125603248,25,25
171,KSG,9000,1,0.19713106362894925,25,25
172,InfoNCE,9000,1,0.06607160687787038,37,37
173,LMI ,9000,1,0.005710985847896935,37,37
174,MINE,9000,1,0.08778579241050687,37,37
175,KSG,9000,1,0.1367713360275687,37,37
176,InfoNCE,9000,1,-0.09951191351163488,50,50
177,LMI ,9000,1,-0.003743711537210862,50,50
178,MINE,9000,1,-0.010832843212546591,50,50
179,KSG,9000,1,0.08428339689686927,50,50
180,InfoNCE,10000,1,0.9549770085437624,1,1
181,LMI ,10000,1,0.9917388988009814,1,1
182,MINE,10000,1,0.9385743352003729,1,1
183,KSG,10000,1,0.9990547623280607,1,1
184,InfoNCE,10000,1,0.6188788811992134,13,13
185,LMI ,10000,1,0.19364697671029654,13,13
186,MINE,10000,1,0.4904332944370231,13,13
187,KSG,10000,1,0.4402780319130823,13,13
188,InfoNCE,10000,1,0.30930185447891645,25,25
189,LMI ,10000,1,0.0555006979552031,25,25
190,MINE,10000,1,0.22236256067595636,25,25
191,KSG,10000,1,0.2304794576371256,25,25
192,InfoNCE,10000,1,0.13639187316265558,37,37
193,LMI ,10000,1,0.01627438789337566,37,37
194,MINE,10000,1,0.0781750579149914,37,37
195,KSG,10000,1,0.1558533930719037,37,37
196,InfoNCE,10000,1,-0.09967426513404938,50,50
197,LMI ,10000,1,0.0009485011481193766,50,50
198,MINE,10000,1,0.027910892425874353,50,50
199,KSG,10000,1,0.07919914694817712,50,50
200,InfoNCE,1000,1,1.010436597932794,1,1
201,LMI ,1000,1,1.0690646748620187,1,1
202,MINE,1000,1,1.0031249275140126,1,1
203,KSG,1000,1,1.116355461292988,1,1
204,InfoNCE,1000,1,-2.5932287062146013,13,13
205,LMI ,1000,1,0.19207010491593784,13,13
206,MINE,1000,1,-0.7500500490122776,13,13
207,KSG,1000,1,0.32786546867796096,13,13
208,InfoNCE,1000,1,-5.826805231900923,25,25
209,LMI ,1000,1,-0.014316634399919707,25,25
210,MINE,1000,1,-1.4426049219799113,25,25
211,KSG,1000,1,0.19197498166271132,25,25
212,InfoNCE,1000,1,-12.35856184624367,37,37
213,LMI ,1000,1,-0.0023298410889811658,37,37
214,MINE,1000,1,-1.394394745290049,37,37
215,KSG,1000,1,0.11460499887610083,37,37
216,InfoNCE,1000,1,-24.81133991621361,50,50
217,LMI ,1000,1,-0.008533802379323028,50,50
218,MINE,1000,1,-3.288406658573195,50,50
219,KSG,1000,1,0.1276208711694861,50,50
220,InfoNCE,2000,1,0.969942938821844,1,1
221,LMI ,2000,1,1.080267613476002,1,1
222,MINE,2000,1,0.9864881857827987,1,1
223,KSG,2000,1,1.01988465518719,1,1
224,InfoNCE,2000,1,-0.152375940733845,13,13
225,LMI ,2000,1,0.19468266728102915,13,13
226,MINE,2000,1,0.28808315096341575,13,13
227,KSG,2000,1,0.3010033992112608,13,13
228,InfoNCE,2000,1,-1.3768814079873872,25,25
229,LMI ,2000,1,0.04204888073612204,25,25
230,MINE,2000,1,-0.3641921812935922,25,25
231,KSG,2000,1,0.21715987030472503,25,25
232,InfoNCE,2000,1,-2.4250688857151714,37,37
233,LMI ,2000,1,-0.03050390995131972,37,37
234,MINE,2000,1,-0.4032460016515188,37,37
235,KSG,2000,1,0.14617485961463625,37,37
236,InfoNCE,2000,1,-3.5652189265123164,50,50
237,LMI ,2000,1,0.012599710120118625,50,50
238,MINE,2000,1,-1.4087439457821365,50,50
239,KSG,2000,1,0.031960975343327876,50,50
240,InfoNCE,3000,1,1.0648883689877695,1,1
241,LMI ,3000,1,1.0281502123108863,1,1
242,MINE,3000,1,1.0383075903836683,1,1
243,KSG,3000,1,1.02736499919098,1,1
244,InfoNCE,3000,1,0.25238316427996477,13,13
245,LMI ,3000,1,0.22445160987788093,13,13
246,MINE,3000,1,0.441148226179268,13,13
247,KSG,3000,1,0.3790261976381019,13,13
248,InfoNCE,3000,1,-0.44765157813899425,25,25
249,LMI ,3000,1,0.04640371482557227,25,25
250,MINE,3000,1,0.03502805046652996,25,25
251,KSG,3000,1,0.20485997224218083,25,25
252,InfoNCE,3000,1,-0.8348429993324699,37,37
253,LMI ,3000,1,0.04760061529247268,37,37
254,MINE,3000,1,-0.24177579032269933,37,37
255,KSG,3000,1,0.049937632593082544,37,37
256,InfoNCE,3000,1,-1.4113563622487424,50,50
257,LMI ,3000,1,-0.051254264239689304,50,50
258,MINE,3000,1,-0.3350861814268722,50,50
259,KSG,3000,1,0.08643135041211557,50,50
260,InfoNCE,4000,1,0.9871804159525216,1,1
261,LMI ,4000,1,0.9957580538836966,1,1
262,MINE,4000,1,0.99547617109954,1,1
263,KSG,4000,1,1.0174863487122645,1,1
264,InfoNCE,4000,1,0.38337890978914885,13,13
